pair_id,jd_id,gap_skill_full,raw_skill_name_from_gt_course,raw_skill_description_from_gt_course,canonical_skill_label_system,canonical_skill_id_system,system_hybrid_score,gt_to_canonical_score,overlap_gap_raw_tokens,overlap_gap_canonical_tokens,flag_too_generic_canonical,flag_lexically_far,flag_low_semantic,flag_noisy_description,priority
240,695ccad41fa95d1eeecca0ed,.Net,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
240,695ccad41fa95d1eeecca0ed,computer vision,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
240,695ccad41fa95d1eeecca0ed,data pipelines,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
240,695ccad41fa95d1eeecca0ed,modern data engineering stacks,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,.Net,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,AI workloads optimization,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,NLP,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,"cloud environments (Azure, AWS, GCP)",Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,computer vision,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,data pipelines,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
39,695cbba01fa95d1eeecca0bb,generative AI,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
84,696380c657a0f8cfb910e925,.NET Core APIs,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
84,696380c657a0f8cfb910e925,Next.js,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
84,696380c657a0f8cfb910e925,cross-browser compatibility,Classroom Discipline Awareness,"Awareness of classroom discipline, adherence to class rules, cooperative spirit, and personal responsibility for activities.",Classroom Discipline Awareness,9654301f48e6c7c1,,0.9955996511503773,0,0,True,True,False,True,7
0,695cb6e11fa95d1eeecca0b2,Azure,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
0,695cb6e11fa95d1eeecca0b2,BigQuery,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
0,695cb6e11fa95d1eeecca0b2,Redshift,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
100,696fd8ceb166038a822e4791,Android,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
100,696fd8ceb166038a822e4791,Flutter,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
100,696fd8ceb166038a822e4791,SOAP,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
100,696fd8ceb166038a822e4791,background communication,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
100,696fd8ceb166038a822e4791,cloud services,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
103,695cc1491fa95d1eeecca0c8,Azure,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
103,695cc1491fa95d1eeecca0c8,Change management,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
103,695cc1491fa95d1eeecca0c8,GCP,Classroom Discipline,"Be aware of classroom organization and discipline, follow class rules, and have a sense of cooperation and personal responsibility for activities assigned by instructors.",Classroom Discipline,5cf19e6ef31a3189,,1.0,0,0,True,True,False,True,7
